timestamp,elapsed_seconds,orientation,orientation_confidence,swipe_direction,is_ghost_frame,notes
2026-03-06T08:57:19,59.803,palm,0.212,RIGHT,False,
2026-03-06T08:57:23,63.752,palm,0.178,LEFT,False,
2026-03-06T08:57:27,67.635,palm,0.15,RIGHT,False,
2026-03-06T08:57:30,70.882,palm,0.126,RIGHT,False,
2026-03-06T09:00:25,245.63,palm,0.063,RIGHT,False,
2026-03-06T09:00:26,246.496,palm,0.158,LEFT,False,
2026-03-06T09:00:27,247.229,palm,0.11,RIGHT,False,
2026-03-06T09:00:28,248.011,palm,0.126,LEFT,False,
2026-03-06T09:00:28,248.723,palm,0.118,RIGHT,True,
2026-03-06T09:00:29,249.665,palm,0.214,LEFT,False,
2026-03-06T09:00:31,251.072,palm,0.12,LEFT,False,
2026-03-06T09:00:31,251.302,palm,0.223,LEFT,False,
2026-03-06T09:00:31,251.866,palm,0.568,RIGHT,False,
2026-03-06T09:00:32,252.102,palm,0.137,RIGHT,False,
2026-03-06T09:00:36,256.8,palm,0.051,LEFT,False,
2026-03-06T09:00:38,258.105,palm,0.141,RIGHT,False,
2026-03-06T09:00:40,260.74,palm,0.112,RIGHT,False,
2026-03-06T09:00:46,266.489,palm,0.156,LEFT,False,
2026-03-06T09:00:47,267.878,palm,0.165,RIGHT,False,
2026-03-06T09:00:49,269.162,palm,0.133,LEFT,False,
2026-03-06T09:00:51,271.174,palm,0.098,RIGHT,False,
2026-03-06T09:00:52,272.288,palm,0.214,LEFT,False,
2026-03-06T09:00:53,273.524,palm,0.039,LEFT,False,
2026-03-06T09:00:55,275.427,palm,0.08,RIGHT,False,
2026-03-06T09:00:56,276.919,palm,0.323,RIGHT,False,
2026-03-06T09:00:59,279.06,palm,0.176,RIGHT,False,
2026-03-06T09:01:02,282.605,palm,0.156,LEFT,False,
2026-03-06T09:01:04,284.356,palm,0.073,RIGHT,False,
2026-03-06T09:01:06,286.498,palm,0.118,LEFT,False,
2026-03-06T09:01:09,289.688,palm,0.126,RIGHT,False,
2026-03-06T09:04:36,496.154,palm,0.116,LEFT,False,
2026-03-06T09:04:36,496.635,palm,0.094,RIGHT,False,
