timestamp,event_type,hand_detected,orientation,confidence,gesture_type,notes
1776008774.9402082,SESSION_START,False,,0.00,,conf=0.3
1776008813.867223,LASER_START,True,palm,0.20,LASER,
1776008813.9189594,LASER_END,True,palm,0.22,NONE,
1776008815.596634,LASER_START,True,palm,0.23,LASER,
1776008818.5352225,LASER_END,True,palm,0.31,NONE,
1776008819.4562716,LASER_START,True,palm,0.28,LASER,
1776008820.5716054,LASER_START,True,palm,0.26,LASER,
1776008822.0402467,LASER_START,True,palm,0.26,LASER,
1776008823.0759685,LASER_END,True,palm,0.28,NONE,
1776008823.219439,LASER_START,True,palm,0.25,LASER,
1776008826.1506684,LASER_END,True,palm,0.27,NONE,
1776008830.8327138,LASER_START,True,palm,0.31,LASER,
1776008833.4907563,LASER_END,True,palm,0.28,NONE,
1776008837.37641,LASER_START,True,palm,0.15,LASER,
1776008838.1620495,LASER_START,True,palm,0.09,LASER,
1776008838.1925848,LASER_END,True,palm,0.06,NONE,
1776008838.448693,LASER_START,True,palm,0.26,LASER,
1776008838.9661162,SWIPE_RIGHT,True,palm,0.29,SWIPE,
1776008839.7761881,LASER_END,True,palm,0.31,NONE,
1776008840.8505824,LASER_START,True,back-hand,0.26,LASER,
1776008840.9680781,SWIPE_LEFT,True,back-hand,0.14,SWIPE,
1776008841.0126631,LASER_END,True,back-hand,0.17,NONE,
1776008844.037791,LASER_START,True,back-hand,0.24,LASER,
1776008844.0643637,LASER_END,True,back-hand,0.21,NONE,
1776008848.0322597,LASER_START,True,back-hand,0.21,LASER,
1776008848.0606296,LASER_END,True,back-hand,0.16,NONE,
1776008848.195584,LASER_START,True,back-hand,0.23,LASER,
1776008848.7042387,LASER_END,True,back-hand,0.15,NONE,
1776008858.3675082,ZOOM_GESTURE,True,back-hand,0.27,ZOOM,
1776008861.391649,SWIPE_RIGHT,True,back-hand,0.27,SWIPE,
1776008866.326109,ZOOM_GESTURE,True,back-hand,0.15,ZOOM,
