timestamp,event_type,hand_detected,orientation,confidence,gesture_type,is_ghost_frame,notes
1776229689.7747693,SESSION_START,False,,0.00,,False,det=0.3 trk=0.3
1776229711.4065661,LOCK_SET,True,,0.00,,False,"wrist=(-0.030,0.892)"
1776229711.5523858,LASER_FRAME,True,palm,0.03,LASER,False,
1776229720.6530359,GHOST_START,True,,0.00,,False,frames_left=9
1776229721.1677427,DROPOUT,False,,0.00,,False,beyond ghost window
1776229884.3258486,LASER_FRAME,True,palm,0.02,LASER,False,
1776229884.3652518,LASER_FRAME,True,palm,0.04,LASER,False,
1776229884.412857,LASER_FRAME,True,palm,0.02,LASER,False,
1776229884.4723442,LASER_FRAME,True,palm,0.03,LASER,False,
1776229885.16052,LASER_FRAME,True,palm,0.10,LASER,False,
1776229885.2123106,LASER_FRAME,True,palm,0.13,LASER,False,
1776229885.2751198,LASER_FRAME,True,palm,0.12,LASER,False,
1776229885.3895156,LASER_FRAME,True,palm,0.06,LASER,False,
1776229885.4404507,LASER_FRAME,True,palm,0.14,LASER,False,
1776229885.5191224,LASER_FRAME,True,palm,0.14,LASER,False,
1776229885.5690331,LASER_FRAME,True,palm,0.09,LASER,False,
1776229885.6690316,LASER_FRAME,True,palm,0.03,LASER,False,
1776229885.7166824,LASER_FRAME,True,palm,0.04,LASER,False,
1776229885.7649372,LASER_FRAME,True,palm,0.10,LASER,False,
1776229885.8298624,LASER_FRAME,True,palm,0.08,LASER,False,
1776229885.8918605,LASER_FRAME,True,palm,0.04,LASER,False,
1776229885.9608886,LASER_FRAME,True,palm,0.12,LASER,False,
1776229886.0036824,LASER_FRAME,True,palm,0.03,LASER,False,
1776229886.0664723,LASER_FRAME,True,palm,0.04,LASER,False,
1776229886.112109,LASER_FRAME,True,palm,0.04,LASER,False,
1776229886.212505,LASER_FRAME,True,palm,0.00,LASER,False,
1776229886.2793014,LASER_FRAME,True,palm,0.02,LASER,False,
1776229886.324783,GHOST_START,True,,0.00,,False,frames_left=9
1776229886.3262327,LASER_FRAME,True,palm,0.02,LASER,True,
1776229886.4206603,LASER_FRAME,True,palm,0.02,LASER,True,
1776229886.4849677,LASER_FRAME,True,palm,0.02,LASER,True,
1776229886.5502717,LASER_FRAME,True,palm,0.02,LASER,True,
1776229886.5945055,LASER_FRAME,True,palm,0.02,LASER,True,
1776229886.648537,LASER_FRAME,True,palm,0.02,LASER,True,
1776229886.7221959,LASER_FRAME,True,palm,0.02,LASER,True,
1776229886.7871914,LASER_FRAME,True,palm,0.02,LASER,True,
1776229886.8445723,LASER_FRAME,True,palm,0.02,LASER,True,
1776229886.9047663,LASER_FRAME,True,palm,0.02,LASER,True,
1776229886.978691,DROPOUT,False,,0.00,,False,beyond ghost window
1776229906.0929835,GHOST_START,True,,0.00,,False,frames_left=9
1776229906.710403,DROPOUT,False,,0.00,,False,beyond ghost window
1776229912.6062667,GHOST_START,True,,0.00,,False,frames_left=9
1776229912.6773555,GHOST_END,True,,0.00,,False,
1776229913.5485945,LASER_FRAME,True,palm,0.31,LASER,False,
1776229913.593354,LASER_FRAME,True,palm,0.36,LASER,False,
1776229913.905041,GHOST_START,True,,0.00,,False,frames_left=9
1776229913.987679,GHOST_END,True,,0.00,,False,
1776229915.6533797,GHOST_START,True,,0.00,,False,frames_left=9
1776229916.2310917,DROPOUT,False,,0.00,,False,beyond ghost window
1776229927.577964,SESSION_END,False,,0.00,,False,clean shutdown
